Serial_number:;;;;
2100000;;;;
Project ID:;;;;
PM-EX-01;;;;
Location:;;;;
AREA-COSTEIRA-01;;;;
LEVEL;;;;
UNIT: m;;;;
Offset: 0,000000 m;;;;
TEMPERATURE;;;;
UNIT: C;;;;
Date;Time;ms;LEVEL;TEMPERATURE
27/05/2025;00:00:00;0;4,1292;25,30
27/05/2025;00:30:00;0;4,1129;25,84
27/05/2025;01:00:00;0;4,1343;25,55
27/05/2025;01:30:00;0;4,1365;26,62
27/05/2025;02:00:00;0;4,0310;26,36
27/05/2025;02:30:00;0;3,9681;26,68
27/05/2025;03:00:00;0;3,8227;27,47
27/05/2025;03:30:00;0;3,6549;27,38
27/05/2025;04:00:00;0;3,4416;26,97
27/05/2025;04:30:00;0;3,2146;26,99
27/05/2025;05:00:00;0;3,0150;27,14
27/05/2025;05:30:00;0;2,7935;27,44
27/05/2025;06:00:00;0;2,6130;27,27
27/05/2025;06:30:00;0;2,4539;27,17
27/05/2025;07:00:00;0;2,3623;27,68
27/05/2025;07:30:00;0;2,2627;27,13
27/05/2025;08:00:00;0;2,2997;27,75
27/05/2025;08:30:00;0;2,3061;26,96
27/05/2025;09:00:00;0;2,4479;27,31
27/05/2025;09:30:00;0;2,5564;26,70
27/05/2025;10:00:00;0;2,7394;26,69
27/05/2025;10:30:00;0;2,9180;25,97
27/05/2025;11:00:00;0;3,1424;25,71
27/05/2025;11:30:00;0;3,3274;25,87
27/05/2025;12:00:00;0;3,4914;25,80
27/05/2025;12:30:00;0;3,6596;25,28
27/05/2025;13:00:00;0;3,7621;24,65
27/05/2025;13:30:00;0;3,8520;24,40
27/05/2025;14:00:00;0;3,8482;24,17
27/05/2025;14:30:00;0;3,8441;23,87
27/05/2025;15:00:00;0;3,7687;24,26
27/05/2025;15:30:00;0;3,6423;24,41
27/05/2025;16:00:00;0;3,4822;23,94
27/05/2025;16:30:00;0;3,3198;23,16
27/05/2025;17:00:00;0;3,1603;23,70
27/05/2025;17:30:00;0;2,9898;23,67
27/05/2025;18:00:00;0;2,8299;24,33
27/05/2025;18:30:00;0;2,6762;23,28
27/05/2025;19:00:00;0;2,6043;23,64
27/05/2025;19:30:00;0;2,5498;24,35
27/05/2025;20:00:00;0;2,5735;24,08
27/05/2025;20:30:00;0;2,5937;24,24
27/05/2025;21:00:00;0;2,6934;24,26
27/05/2025;21:30:00;0;2,8184;24,50
27/05/2025;22:00:00;0;2,9954;24,83
27/05/2025;22:30:00;0;3,1750;24,57
27/05/2025;23:00:00;0;3,3805;25,30
27/05/2025;23:30:00;0;3,5704;24,85
28/05/2025;00:00:00;0;3,7423;25,60
28/05/2025;00:30:00;0;3,9013;25,79
28/05/2025;01:00:00;0;3,9953;25,78
28/05/2025;01:30:00;0;4,0907;26,18
28/05/2025;02:00:00;0;4,0567;26,21
28/05/2025;02:30:00;0;4,0615;26,27
28/05/2025;03:00:00;0;3,9500;26,67
28/05/2025;03:30:00;0;3,8384;26,60
28/05/2025;04:00:00;0;3,6571;27,16
28/05/2025;04:30:00;0;3,4927;26,82
28/05/2025;05:00:00;0;3,2463;27,45
28/05/2025;05:30:00;0;3,0503;26,93
28/05/2025;06:00:00;0;2,8196;27,13
28/05/2025;06:30:00;0;2,6370;27,10
28/05/2025;07:00:00;0;2,5100;27,64
28/05/2025;07:30:00;0;2,3821;27,26
28/05/2025;08:00:00;0;2,3464;27,00
28/05/2025;08:30:00;0;2,3103;27,08
28/05/2025;09:00:00;0;2,3613;26,14
28/05/2025;09:30:00;0;2,4247;26,58
28/05/2025;10:00:00;0;2,5880;27,00
28/05/2025;10:30:00;0;2,7228;26,23
28/05/2025;11:00:00;0;2,9006;25,99
28/05/2025;11:30:00;0;3,0932;25,90
28/05/2025;12:00:00;0;3,2809;25,77
28/05/2025;12:30:00;0;3,4830;24,67
28/05/2025;13:00:00;0;3,6116;24,53
28/05/2025;13:30:00;0;3,7511;24,87
28/05/2025;14:00:00;0;3,7865;24,39
28/05/2025;14:30:00;0;3,8424;24,80
28/05/2025;15:00:00;0;3,8032;24,13
28/05/2025;15:30:00;0;3,7473;23,49
28/05/2025;16:00:00;0;3,6333;23,56
