Serial_number:;;;;
2100000;;;;
Project ID:;;;;
PM-EX-04;;;;
Location:;;;;
AREA-COSTEIRA-04;;;;
LEVEL;;;;
UNIT: m;;;;
Offset: 0,000000 m;;;;
TEMPERATURE;;;;
UNIT: C;;;;
Date;Time;ms;LEVEL;TEMPERATURE
27/05/2025;00:00:00;0;5,8814;24,99
27/05/2025;00:30:00;0;5,8804;25,89
27/05/2025;01:00:00;0;5,8841;26,14
27/05/2025;01:30:00;0;5,8876;26,02
27/05/2025;02:00:00;0;5,8825;26,17
27/05/2025;02:30:00;0;5,8845;26,07
27/05/2025;03:00:00;0;5,8857;26,80
27/05/2025;03:30:00;0;5,8864;26,71
27/05/2025;04:00:00;0;5,8784;26,81
27/05/2025;04:30:00;0;5,8851;27,24
27/05/2025;05:00:00;0;5,8826;26,81
27/05/2025;05:30:00;0;5,8795;27,19
27/05/2025;06:00:00;0;5,8791;27,36
27/05/2025;06:30:00;0;5,8812;27,47
27/05/2025;07:00:00;0;5,8773;27,43
27/05/2025;07:30:00;0;5,8749;27,25
27/05/2025;08:00:00;0;5,8824;26,56
27/05/2025;08:30:00;0;5,8858;27,24
27/05/2025;09:00:00;0;5,8806;26,75
27/05/2025;09:30:00;0;5,8855;26,32
27/05/2025;10:00:00;0;5,8797;26,04
27/05/2025;10:30:00;0;5,8766;26,20
27/05/2025;11:00:00;0;5,8738;25,82
27/05/2025;11:30:00;0;5,8773;26,08
27/05/2025;12:00:00;0;5,8885;25,64
27/05/2025;12:30:00;0;5,8800;25,57
27/05/2025;13:00:00;0;5,8720;24,90
27/05/2025;13:30:00;0;5,8809;24,92
27/05/2025;14:00:00;0;5,8789;24,84
27/05/2025;14:30:00;0;5,8784;24,34
27/05/2025;15:00:00;0;5,8775;23,86
27/05/2025;15:30:00;0;5,8763;24,03
27/05/2025;16:00:00;0;5,8786;24,09
27/05/2025;16:30:00;0;5,8687;23,54
27/05/2025;17:00:00;0;5,8694;23,77
27/05/2025;17:30:00;0;5,8675;23,58
27/05/2025;18:00:00;0;5,8669;23,73
27/05/2025;18:30:00;0;5,8574;23,45
27/05/2025;19:00:00;0;5,8564;23,58
27/05/2025;19:30:00;0;5,8451;23,88
27/05/2025;20:00:00;0;5,8216;23,68
27/05/2025;20:30:00;0;5,8272;23,79
27/05/2025;21:00:00;0;5,8231;23,83
27/05/2025;21:30:00;0;5,8162;24,51
27/05/2025;22:00:00;0;5,8027;24,89
27/05/2025;22:30:00;0;5,8108;24,74
27/05/2025;23:00:00;0;5,8093;24,82
27/05/2025;23:30:00;0;5,8195;25,38
28/05/2025;00:00:00;0;5,8276;25,85
28/05/2025;00:30:00;0;5,8317;24,87
28/05/2025;01:00:00;0;5,8299;26,20
28/05/2025;01:30:00;0;5,8463;25,95
28/05/2025;02:00:00;0;5,8496;26,58
28/05/2025;02:30:00;0;5,8605;26,63
28/05/2025;03:00:00;0;5,8600;26,45
28/05/2025;03:30:00;0;5,8658;26,45
28/05/2025;04:00:00;0;5,8677;26,60
28/05/2025;04:30:00;0;5,8666;27,60
28/05/2025;05:00:00;0;5,8750;27,25
28/05/2025;05:30:00;0;5,8683;27,08
28/05/2025;06:00:00;0;5,8624;27,35
28/05/2025;06:30:00;0;5,8475;27,31
28/05/2025;07:00:00;0;5,8450;27,25
28/05/2025;07:30:00;0;5,8421;27,06
28/05/2025;08:00:00;0;5,8384;26,64
28/05/2025;08:30:00;0;5,8215;26,51
28/05/2025;09:00:00;0;5,8288;27,08
28/05/2025;09:30:00;0;5,8163;26,52
28/05/2025;10:00:00;0;5,8131;26,37
28/05/2025;10:30:00;0;5,8251;25,85
28/05/2025;11:00:00;0;5,8176;26,22
28/05/2025;11:30:00;0;5,8263;25,50
28/05/2025;12:00:00;0;5,8337;25,48
28/05/2025;12:30:00;0;5,8381;25,29
28/05/2025;13:00:00;0;5,8359;24,72
28/05/2025;13:30:00;0;5,8455;24,85
28/05/2025;14:00:00;0;5,8525;24,70
28/05/2025;14:30:00;0;5,8634;24,52
28/05/2025;15:00:00;0;5,8691;24,01
28/05/2025;15:30:00;0;5,8762;24,03
28/05/2025;16:00:00;0;5,8764;24,24
28/05/2025;16:30:00;0;5,8783;24,15
28/05/2025;17:00:00;0;5,8721;23,73
28/05/2025;17:30:00;0;5,8674;23,97
28/05/2025;18:00:00;0;5,8572;23,95
28/05/2025;18:30:00;0;5,8548;23,69
28/05/2025;19:00:00;0;5,8428;24,09
28/05/2025;19:30:00;0;5,8391;23,91
28/05/2025;20:00:00;0;5,8427;23,46
28/05/2025;20:30:00;0;5,8291;24,89
28/05/2025;21:00:00;0;5,8209;23,87
28/05/2025;21:30:00;0;5,8152;24,32
28/05/2025;22:00:00;0;5,8083;24,53
28/05/2025;22:30:00;0;5,8089;24,50
28/05/2025;23:00:00;0;5,8130;25,00
28/05/2025;23:30:00;0;5,8049;25,24
29/05/2025;00:00:00;0;5,8092;25,15
29/05/2025;00:30:00;0;5,8131;25,95
29/05/2025;01:00:00;0;5,8212;26,51
29/05/2025;01:30:00;0;5,8429;26,39
29/05/2025;02:00:00;0;5,8461;26,71
29/05/2025;02:30:00;0;5,8533;26,85
29/05/2025;03:00:00;0;5,8434;26,63
29/05/2025;03:30:00;0;5,8477;27,41
29/05/2025;04:00:00;0;5,8642;27,33
29/05/2025;04:30:00;0;5,8565;27,41
29/05/2025;05:00:00;0;5,8644;27,84
29/05/2025;05:30:00;0;5,8542;27,67
29/05/2025;06:00:00;0;5,8652;27,35
29/05/2025;06:30:00;0;5,8542;27,40
29/05/2025;07:00:00;0;5,8483;27,69
29/05/2025;07:30:00;0;5,8584;27,46
29/05/2025;08:00:00;0;5,8390;26,69
29/05/2025;08:30:00;0;5,8266;27,47
29/05/2025;09:00:00;0;5,8214;27,10
29/05/2025;09:30:00;0;5,8279;27,26
29/05/2025;10:00:00;0;5,8127;26,45
29/05/2025;10:30:00;0;5,8240;25,67
29/05/2025;11:00:00;0;5,8087;25,81
29/05/2025;11:30:00;0;5,8177;25,55
29/05/2025;12:00:00;0;5,8127;25,58
29/05/2025;12:30:00;0;5,8288;26,09
29/05/2025;13:00:00;0;5,8344;24,94
29/05/2025;13:30:00;0;5,8372;25,32
29/05/2025;14:00:00;0;5,8400;24,49
29/05/2025;14:30:00;0;5,8445;24,72
29/05/2025;15:00:00;0;5,8531;24,89
29/05/2025;15:30:00;0;5,8523;23,99
29/05/2025;16:00:00;0;5,8595;24,40
29/05/2025;16:30:00;0;5,8717;23,83
29/05/2025;17:00:00;0;5,8644;24,09
29/05/2025;17:30:00;0;5,8651;24,08
29/05/2025;18:00:00;0;5,8704;23,66
29/05/2025;18:30:00;0;5,8601;23,08
29/05/2025;19:00:00;0;5,8536;24,02
29/05/2025;19:30:00;0;5,8519;23,40
29/05/2025;20:00:00;0;5,8419;23,50
29/05/2025;20:30:00;0;5,8341;24,13
29/05/2025;21:00:00;0;5,8258;23,90
29/05/2025;21:30:00;0;5,8261;24,67
29/05/2025;22:00:00;0;5,8213;25,15
29/05/2025;22:30:00;0;5,7976;24,98
29/05/2025;23:00:00;0;5,8161;25,29
29/05/2025;23:30:00;0;5,8104;25,56
30/05/2025;00:00:00;0;5,8049;25,12
30/05/2025;00:30:00;0;5,8144;25,54
30/05/2025;01:00:00;0;5,8060;25,25
30/05/2025;01:30:00;0;5,8205;26,83
30/05/2025;02:00:00;0;5,8307;25,91
30/05/2025;02:30:00;0;5,8296;26,90
30/05/2025;03:00:00;0;5,8257;26,72
30/05/2025;03:30:00;0;5,8437;26,48
30/05/2025;04:00:00;0;5,8476;27,56
30/05/2025;04:30:00;0;5,8594;27,12
30/05/2025;05:00:00;0;5,8599;27,83
30/05/2025;05:30:00;0;5,8656;26,88
30/05/2025;06:00:00;0;5,8564;27,43
30/05/2025;06:30:00;0;5,8568;27,57
30/05/2025;07:00:00;0;5,8536;26,96
30/05/2025;07:30:00;0;5,8423;26,83
30/05/2025;08:00:00;0;5,8420;27,39
30/05/2025;08:30:00;0;5,8477;26,66
30/05/2025;09:00:00;0;5,8260;26,31
30/05/2025;09:30:00;0;5,8267;26,81
30/05/2025;10:00:00;0;5,8182;26,27
30/05/2025;10:30:00;0;5,8199;26,55
30/05/2025;11:00:00;0;5,8086;26,07
30/05/2025;11:30:00;0;5,8199;25,62
30/05/2025;12:00:00;0;5,8122;25,44
30/05/2025;12:30:00;0;5,8144;25,48
30/05/2025;13:00:00;0;5,8160;25,67
30/05/2025;13:30:00;0;5,8258;25,35
30/05/2025;14:00:00;0;5,8242;24,22
30/05/2025;14:30:00;0;5,8392;24,22
30/05/2025;15:00:00;0;5,8375;24,03
30/05/2025;15:30:00;0;5,8454;24,14
30/05/2025;16:00:00;0;5,8579;24,00
30/05/2025;16:30:00;0;5,8622;23,88
30/05/2025;17:00:00;0;5,8592;24,38
30/05/2025;17:30:00;0;5,8557;23,75
30/05/2025;18:00:00;0;5,8589;23,57
30/05/2025;18:30:00;0;5,8601;23,69
30/05/2025;19:00:00;0;5,8540;23,65
30/05/2025;19:30:00;0;5,8507;23,77
30/05/2025;20:00:00;0;5,8488;24,35
30/05/2025;20:30:00;0;5,8271;24,20
30/05/2025;21:00:00;0;5,8301;23,52
30/05/2025;21:30:00;0;5,8241;25,13
30/05/2025;22:00:00;0;5,8146;24,77
30/05/2025;22:30:00;0;5,8154;24,26
30/05/2025;23:00:00;0;5,8042;24,88
30/05/2025;23:30:00;0;5,8045;25,08
31/05/2025;00:00:00;0;5,8030;25,49
31/05/2025;00:30:00;0;5,8154;25,61
31/05/2025;01:00:00;0;5,8016;25,26
31/05/2025;01:30:00;0;5,8105;26,02
31/05/2025;02:00:00;0;5,8201;26,90
